2.f) Rang lista nekretnina izgradenih 2020. godine koje se prodaju:
+----------------+------------+-------------------------------+-------------+--------------------+------------------+--------------------+------------------+------------------+-------------+----------------------------+-----------+---------------+---------+------+--------+--------+-------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+
| Tip nekretnine | Tip ponude |            Lokacija           | Kvadaratura | Stanje nekretnine  | Godina izgradnje | Površina zemljišta |      Sprat       | Ukupna spratnost | Uknjiženost |        Tip grejanja        | Broj soba | Broj kupatila | Parking | Lift | Terasa | Balkon | Lodja |                                                                                 url                                                                                 |      Cena     |
|      Stan      |  Prodaja   |    Beograd, Zemun (Centar)    |    91 m²    | Završena izgradnja |       2020       |                    |        3         |        3         |      Da     |           Etažno           |     3     |       2       |    Da   |  Ne  |   Ne   |   Ne   |   Ne  |                                 https://www.nekretnine.rs/stambeni-objekti/stanovi/prodaja-stana-u-gundulicevoj-8-zemun/Nk4qwSvZJ7X/                                |  180 000 EUR  |
|      Stan      |  Prodaja   |     Beograd, Južni bulevar    |    67 m²    |    Novogradnja     |       2020       |                    |        1         |        6         |      Ne     |         Centralno          |     3     |       1       |    Da   |  Da  |   Ne   |   Ne   |   Ne  |                              https://www.nekretnine.rs/stambeni-objekti/stanovi/vojvode-hrvoja-juzni-bulevar-vracar-id1469/NkuCgGuaE47/                             |  169 000 EUR  |
|      Stan      |  Prodaja   |       Beograd, Voždovac       |    72 m²    |    Novogradnja     |       2020       |                    |    Prizemlje     |        5         |      Da     |           Ostalo           |     2     |               |    Da   |  Da  |   Da   |   Ne   |   Ne  |                                         https://www.nekretnine.rs/stambeni-objekti/stanovi/72m2-t-vozdovac-stan/Nk7WIZiWgYJ/                                        |  163 250 EUR  |
|      Stan      |  Prodaja   |      Beograd, Autokomanda     |    78 m²    | Standardna gradnja |       2020       |                    |        3         |        3         |      Ne     |       Klima, Etažno        |     3     |       1       |    Da   |  Da  |   Da   |   Ne   |   Ne  |                       https://www.nekretnine.rs/stambeni-objekti/stanovi/30-savski-venac-autokomanda-perfektna-novogradnja-id1875/NkJl5N5e7Th/                      |  159 900 EUR  |
|      Kuca      |  Prodaja   |        Beograd, Surcin        |    146 m²   |    Novogradnja     |       2020       |       20 ar        |                  |                  |      Da     |           Etažno           |     3     |       2       |    Da   |  Ne  |   Da   |   Ne   |   Ne  |                                https://www.nekretnine.rs/stambeni-objekti/kuce/nova-kuca-surcin-progar-energetski-pasos/NkgRYt5yX5-/                                |  149 000 EUR  |
|      Stan      |  Prodaja   |  Beograd, Zemun (Gornji grad) |    113 m²   | Standardna gradnja |       2020       |                    | Visoko prizemlje |        3         |      Da     |           Etažno           |     4     |       1       |    Ne   |  Ne  |   Da   |   Ne   |   Ne  |                                 https://www.nekretnine.rs/stambeni-objekti/stanovi/prizrenska-ugrinovacka-zemun-id2035/Nk7KHQD6V9t/                                 |  147 000 EUR  |
|      Stan      |  Prodaja   |     Beograd, Južni bulevar    |    64 m²    |    Novogradnja     |       2020       |                    |        1         |        4         |      Ne     |         Centralno          |     3     |       1       |    Da   |  Da  |   Da   |   Da   |   Ne  |                                 https://www.nekretnine.rs/stambeni-objekti/stanovi/trosoban-komforan-stan-vracar-id1061/NkGcUncij3h/                                |  140 800 EUR  |
|      Stan      |  Prodaja   |       Beograd, Karaburma      |    127 m²   |    Novogradnja     |       2020       |                    |        5         |        5         |      Ne     |           Etažno           |     6     |       1       |    Da   |  Ne  |   Da   |   Ne   |   Ne  |                                 https://www.nekretnine.rs/stambeni-objekti/stanovi/karaburma-stevana-hristica-840-id840/Nk2vayhRCCw/                                |  140 000 EUR  |
|      Stan      |  Prodaja   | Beograd, Novi Beograd Blok 63 |    57 m²    |    Novogradnja     |       2020       |                    |        10        |        10        |      Ne     |         Centralno          |     2     |               |    Da   |  Da  |   Da   |   Ne   |   Ne  |                   https://www.nekretnine.rs/stambeni-objekti/stanovi/bez-provizije-za-kupca-novogradnja-na-novom-beogradu-u-bloku-63/NkOVZAQ4hM0/                   |  125 466 EUR  |
|      Stan      |  Prodaja   | Beograd, Novi Beograd Blok 65 |    45 m²    |    Novogradnja     |       2020       |                    |        10        |        10        |      Da     |         Centralno          |     2     |               |    Da   |  Da  |   Da   |   Ne   |   Ne  |                          https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-beograd-blok-65-tosin-bunar-45m2-tosin-bunar/NkRErzhg3W8/                          |  121 500 EUR  |
|      Stan      |  Prodaja   |     Novi Sad, Petrovaradin    |    90 m²    |                    |       2020       |                    |        4         |        4         |      Ne     |           Etažno           |     4     |       2       |    Ne   |  Ne  |   Ne   |   Ne   |   Ne  |                       https://www.nekretnine.rs/stambeni-objekti/stanovi/fenomenalan-penthouse-na-samo-pet-minuta-do-centra-grada/NkhL1qr_Dsa/                      |  119 200 EUR  |
|      Stan      |  Prodaja   |  Beograd, Uciteljsko naselje  |    80 m²    |    U izgradnji     |       2020       |                    |        3         |        3         |      Ne     |           Etažno           |     2     |       1       |    Da   |  Da  |   Da   |   Ne   |   Ne  |                          https://www.nekretnine.rs/stambeni-objekti/stanovi/uciteljsko-naselje-80m2-iii-eg-u-izgradnji-id70973/Nk4GdRpeb5J/                         |  115 000 EUR  |
